num,Gyeongbokgung,date
1,21,2015-02-01
2,11,2015-02-08
3,33,2015-02-15
4,11,2015-02-22
5,32,2015-03-01
6,11,2015-03-08
7,22,2015-03-15
8,50,2015-03-22
9,35,2015-03-29
10,34,2015-04-05
11,68,2015-04-12
12,23,2015-04-19
13,46,2015-04-26
14,0,2015-05-03
15,24,2015-05-10
16,48,2015-05-17
17,25,2015-05-24
18,36,2015-05-31
19,37,2015-06-07
20,12,2015-06-14
21,12,2015-06-21
22,38,2015-06-28
23,25,2015-07-05
24,24,2015-07-12
25,12,2015-07-19
26,12,2015-07-26
27,12,2015-08-02
28,24,2015-08-09
29,12,2015-08-16
30,12,2015-08-23
31,23,2015-08-30
32,23,2015-09-06
33,56,2015-09-13
34,11,2015-09-20
35,22,2015-09-27
36,33,2015-10-04
37,33,2015-10-11
38,11,2015-10-18
39,11,2015-10-25
40,54,2015-11-01
41,32,2015-11-08
42,86,2015-11-15
43,0,2015-11-22
44,21,2015-11-29
45,11,2015-12-06
46,44,2015-12-13
47,13,2015-12-20
48,12,2015-12-27
49,18,2016-01-03
50,9,2016-01-10
51,18,2016-01-17
52,36,2016-01-24
53,27,2016-01-31
54,18,2016-02-07
55,18,2016-02-14
56,36,2016-02-21
57,35,2016-02-28
58,52,2016-03-06
59,18,2016-03-13
60,45,2016-03-20
61,27,2016-03-27
62,26,2016-04-03
63,9,2016-04-10
64,18,2016-04-17
65,88,2016-04-24
66,0,2016-05-01
67,73,2016-05-08
68,92,2016-05-15
69,37,2016-05-22
70,57,2016-05-29
71,46,2016-06-05
72,19,2016-06-12
73,28,2016-06-19
74,9,2016-06-26
75,0,2016-07-03
76,29,2016-07-10
77,39,2016-07-17
78,28,2016-07-24
79,10,2016-07-31
80,10,2016-08-07
81,0,2016-08-14
82,0,2016-08-21
83,18,2016-08-28
84,18,2016-09-04
85,18,2016-09-11
86,18,2016-09-18
87,55,2016-09-25
88,18,2016-10-02
89,9,2016-10-09
90,45,2016-10-16
91,27,2016-10-23
92,18,2016-10-30
93,75,2016-11-06
94,17,2016-11-13
95,37,2016-11-20
96,8,2016-11-27
97,33,2016-12-04
98,41,2016-12-11
99,18,2016-12-18
100,0,2016-12-25
101,43,2017-01-01
102,33,2017-01-08
103,8,2017-01-15
104,40,2017-01-22
105,40,2017-01-29
106,24,2017-02-05
107,32,2017-02-12
108,24,2017-02-19
109,31,2017-02-26
110,23,2017-03-05
111,32,2017-03-12
112,49,2017-03-19
113,16,2017-03-26
114,24,2017-04-02
115,8,2017-04-09
116,24,2017-04-16
117,32,2017-04-23
118,98,2017-04-30
119,49,2017-05-07
120,44,2017-05-14
121,62,2017-05-21
122,73,2017-05-28
123,26,2017-06-04
124,35,2017-06-11
125,34,2017-06-18
126,9,2017-06-25
127,56,2017-07-02
128,27,2017-07-09
129,35,2017-07-16
130,18,2017-07-23
131,26,2017-07-30
132,9,2017-08-06
133,9,2017-08-13
134,25,2017-08-20
135,17,2017-08-27
136,49,2017-09-03
137,32,2017-09-10
138,49,2017-09-17
139,16,2017-09-24
140,16,2017-10-01
141,48,2017-10-08
142,33,2017-10-15
143,48,2017-10-22
144,24,2017-10-29
145,16,2017-11-05
146,32,2017-11-12
147,8,2017-11-19
148,31,2017-11-26
149,70,2017-12-03
150,56,2017-12-10
151,34,2017-12-17
152,64,2017-12-24
153,33,2017-12-31
154,47,2018-01-07
155,16,2018-01-14
156,46,2018-01-21
157,39,2018-01-28
158,62,2018-02-04
159,47,2018-02-11
160,31,2018-02-18
161,93,2018-02-25
162,100,2018-03-04
163,70,2018-03-11
164,31,2018-03-18
165,48,2018-03-25
166,40,2018-04-01
167,47,2018-04-08
168,47,2018-04-15
169,47,2018-04-22
170,23,2018-04-29
171,48,2018-05-06
172,48,2018-05-13
173,57,2018-05-20
174,66,2018-05-27
175,49,2018-06-03
176,57,2018-06-10
177,17,2018-06-17
178,34,2018-06-24
179,43,2018-07-01
180,58,2018-07-08
181,33,2018-07-15
182,25,2018-07-22
183,25,2018-07-29
184,58,2018-08-05
185,84,2018-08-12
186,17,2018-08-19
187,57,2018-08-26
188,25,2018-09-02
189,48,2018-09-09
190,16,2018-09-16
191,56,2018-09-23
192,32,2018-09-30
193,24,2018-10-07
194,49,2018-10-14
195,64,2018-10-21
196,33,2018-10-28
197,54,2018-11-04
198,40,2018-11-11
199,0,2018-11-18
200,46,2018-11-25
201,72,2018-12-02
202,8,2018-12-09
203,66,2018-12-16
204,46,2018-12-23
205,26,2018-12-30
206,32,2019-01-06
207,70,2019-01-13
208,62,2019-01-20
209,8,2019-01-27
210,53,2019-02-03
211,15,2019-02-10
212,54,2019-02-17
213,38,2019-02-24
214,31,2019-03-03
215,70,2019-03-10
216,48,2019-03-17
217,95,2019-03-24
218,56,2019-03-31
219,64,2019-04-07
220,49,2019-04-14
221,81,2019-04-21
222,71,2019-04-28
223,64,2019-05-05
224,66,2019-05-12
225,99,2019-05-19
226,75,2019-05-26
227,65,2019-06-02
228,49,2019-06-09
229,97,2019-06-16
230,50,2019-06-23
231,26,2019-06-30
232,32,2019-07-07
233,17,2019-07-14
234,34,2019-07-21
235,25,2019-07-28
236,67,2019-08-04
237,40,2019-08-11
238,24,2019-08-18
239,38,2019-08-25
240,38,2019-09-01
241,37,2019-09-08
242,59,2019-09-15
243,52,2019-09-22
244,46,2019-09-29
245,15,2019-10-06
246,37,2019-10-13
247,15,2019-10-20
248,43,2019-10-27
249,30,2019-11-03
250,14,2019-11-10
251,51,2019-11-17
252,23,2019-11-24
253,57,2019-12-01
254,29,2019-12-08
255,30,2019-12-15
256,59,2019-12-22
257,55,2019-12-29
258,50,2020-01-05
259,62,2020-01-12
260,43,2020-01-19
261,42,2020-01-26
