num,덕수궁: (대만),date
1,0,2015-02-01
2,0,2015-02-08
3,24,2015-02-15
4,40,2015-02-22
5,58,2015-03-01
6,0,2015-03-08
7,19,2015-03-15
8,20,2015-03-22
9,20,2015-03-29
10,19,2015-04-05
11,0,2015-04-12
12,18,2015-04-19
13,38,2015-04-26
14,19,2015-05-03
15,18,2015-05-10
16,36,2015-05-17
17,18,2015-05-24
18,0,2015-05-31
19,0,2015-06-07
20,18,2015-06-14
21,0,2015-06-21
22,18,2015-06-28
23,0,2015-07-05
24,0,2015-07-12
25,36,2015-07-19
26,34,2015-07-26
27,33,2015-08-02
28,34,2015-08-09
29,34,2015-08-16
30,0,2015-08-23
31,0,2015-08-30
32,17,2015-09-06
33,17,2015-09-13
34,53,2015-09-20
35,17,2015-09-27
36,0,2015-10-04
37,17,2015-10-11
38,17,2015-10-18
39,50,2015-10-25
40,33,2015-11-01
41,17,2015-11-08
42,0,2015-11-15
43,0,2015-11-22
44,0,2015-11-29
45,17,2015-12-06
46,17,2015-12-13
47,17,2015-12-20
48,36,2015-12-27
49,0,2016-01-03
50,0,2016-01-10
51,20,2016-01-17
52,0,2016-01-24
53,0,2016-01-31
54,23,2016-02-07
55,39,2016-02-14
56,19,2016-02-21
57,19,2016-02-28
58,56,2016-03-06
59,0,2016-03-13
60,19,2016-03-20
61,19,2016-03-27
62,38,2016-04-03
63,56,2016-04-10
64,18,2016-04-17
65,37,2016-04-24
66,0,2016-05-01
67,56,2016-05-08
68,19,2016-05-15
69,19,2016-05-22
70,0,2016-05-29
71,0,2016-06-05
72,37,2016-06-12
73,0,2016-06-19
74,37,2016-06-26
75,35,2016-07-03
76,0,2016-07-10
77,19,2016-07-17
78,19,2016-07-24
79,0,2016-07-31
80,0,2016-08-07
81,60,2016-08-14
82,0,2016-08-21
83,76,2016-08-28
84,19,2016-09-04
85,19,2016-09-11
86,0,2016-09-18
87,18,2016-09-25
88,55,2016-10-02
89,37,2016-10-09
90,56,2016-10-16
91,38,2016-10-23
92,38,2016-10-30
93,18,2016-11-06
94,19,2016-11-13
95,37,2016-11-20
96,54,2016-11-27
97,51,2016-12-04
98,0,2016-12-11
99,35,2016-12-18
100,0,2016-12-25
101,35,2017-01-01
102,18,2017-01-08
103,18,2017-01-15
104,39,2017-01-22
105,54,2017-01-29
106,17,2017-02-05
107,83,2017-02-12
108,0,2017-02-19
109,0,2017-02-26
110,16,2017-03-05
111,16,2017-03-12
112,16,2017-03-19
113,16,2017-03-26
114,17,2017-04-02
115,16,2017-04-09
116,16,2017-04-16
117,33,2017-04-23
118,16,2017-04-30
119,16,2017-05-07
120,0,2017-05-14
121,0,2017-05-21
122,51,2017-05-28
123,33,2017-06-04
124,34,2017-06-11
125,47,2017-06-18
